 no_of_dependents, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, self_employed_ Yes, education_ Not Graduate,loan_status
0.3489682213087069,-1.0559516801438278,-1.0020929128256308,-0.532173462457074,-1.4747821042243963,-0.30256644129560695,-0.9966680372906811,-1.1674800078729126,-0.6375699172299465,1.0,1.0,0
0.9419861137287315,1.6783208868047272,1.569149035850556,-0.532173462457074,-0.05325571735886303,3.2948237754931835,2.682272548636233,2.2536526852599517,1.2425296020550076,0.0,1.0,1
-0.24404967111131776,0.36444965333594104,0.7856375407603875,-0.532173462457074,0.5361576625609922,1.3284536993671074,1.3569399151967236,0.8372601689947528,0.687746137347972,1.0,0.0,1
-0.8370675635313424,-0.13269081338197808,0.3883641066301612,1.564748837373785,-0.9027044119492427,-0.8208345233753479,-1.1337714131637338,-0.44838842269211965,-0.29853557768675804,1.0,1.0,0
0.3489682213087069,-0.16820084671897229,-0.17443992505432604,1.564748837373785,0.7384073517491778,-0.9427799544529339,0.899928662286548,0.21622652724770425,0.2870691906151129,1.0,1.0,1
-1.4300854559513672,-0.771871413447874,-0.5827487323548364,-0.532173462457074,-1.671253230864348,-0.8665640600294426,-0.10549609411583849,-0.4374930956439258,-0.390999488471264,1.0,0.0,0
1.5350040061487562,-0.8784015134588568,-1.0683051518473352,-0.532173462457074,0.43214353669278244,-0.11964829467922776,-0.9509669119996635,-0.8733061775716792,-1.1307107747473115,1.0,0.0,1
1.5350040061487562,-1.0559516801438278,-1.1345173908690396,0.1668006374865457,0.2876794729869356,-0.7598618078365549,-0.6539095976080493,-0.9931547751018114,-0.9766042567731349,1.0,1.0,1
-0.8370675635313424,-1.4465620468507643,-1.2669418689124483,0.5162876874583555,1.1371281675773153,-0.8360777022600462,-1.0880702878727162,-1.2437472972102694,-1.0998894711524763,1.0,0.0,1
-0.8370675635313424,0.5419998200209122,0.6090715700358424,-1.2311475624006936,-0.04169859226239528,-0.40926869348849476,-1.0880702878727162,1.218596615681537,1.2117082984601724,1.0,0.0,1
-0.8370675635313424,-0.8073814467848682,-0.6710317177171089,0.5162876874583555,-0.5270978463140408,-0.775104986721253,-0.17404778205236485,-0.5246557120294765,-0.6067486136351112,1.0,1.0,0
-0.8370675635313424,-1.588602180198741,-1.4545432128072775,-0.18268641248526415,-1.5903533551890738,-1.0799685644152184,-0.905265786708646,-1.3962818758849833,-1.3156385963163233,1.0,0.0,0
0.3489682213087069,0.36444965333594104,0.6090715700358424,-1.2311475624006936,1.241142293445525,1.1302923738660298,0.10015896969374058,0.9788994206212727,0.2870691906151129,0.0,0.0,1
-1.4300854559513672,1.2522004867607965,1.922280977299646,-0.532173462457074,1.0215569166126377,2.1363421802561153,2.0881579198530047,2.0030601631514933,1.858955673951714,1.0,1.0,1
-0.24404967111131776,1.1811804200868081,0.6201069432061266,0.1668006374865457,-1.5383462922549689,-0.11964829467922776,1.6768477922338467,0.3578657788742241,1.5815639415981961,1.0,1.0,0
1.5350040061487562,0.4709797533469237,0.9622035114849325,-0.8816605124288838,-1.1280683513303638,1.0998060160966334,1.6996983548793554,1.1096433451995986,-0.20607166690225212,1.0,0.0,0
-0.8370675635313424,0.04485935330299303,0.6090715700358424,0.1668006374865457,0.06231553360581447,-0.8055913444906496,-0.5396567843805053,0.1399592379103474,-0.5451060064454406,1.0,1.0,1
